料理の種類,料理名,エネルギー[キロカロリー],たんぱく質[グラム],脂質[グラム],炭水化物[グラム],食塩相当量[グラム],野菜量[グラム],材料1＿材料名,材料1＿重量[グラム],材料2＿材料名,材料2＿重量[グラム],材料3＿材料名,材料3＿重量[グラム],材料4＿材料名,材料4＿重量[グラム],材料5＿材料名,材料5＿重量[グラム],材料6＿材料名,材料6＿重量[グラム],材料7＿材料名,材料7＿重量[グラム],材料8＿材料名,材料8＿重量[グラム],材料9＿材料名,材料9＿重量[グラム],材料10＿材料名,材料10＿重量[グラム],材料11＿材料名,材料11＿重量[グラム],材料12＿材料名,材料12＿重量[グラム],材料13＿材料名,材料13＿重量[グラム],材料14＿材料名,材料14＿重量[グラム],材料15＿材料名,材料15＿重量[グラム],材料16＿材料名,材料16＿重量[グラム],材料17＿材料名,材料17＿重量[グラム],材料18＿材料名,材料18＿重量[グラム],材料19＿材料名,材料19＿重量[グラム],材料20＿材料名,材料20＿重量[グラム],,
ごはん,ごはん（中茶碗1杯）,252,3.8,0.5,55.7,0.0,0.0,めし・精白米（水稲）,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ごはん,麦ごはん,248,4.3,0.7,54.0,0.0,0.0,米・精白米（水稲）,60,大麦・押麦,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ごはん,きのこたっぷり混ぜご飯,307,6.6,2.4,61.4,1.0,23.0,米・精白米（水稲）,70,えのきたけ＿生,7,しめじ・ぶなしめじ＿生,7,まいたけ＿生,7,油揚げ,5,かつお・昆布だし,90,こいくちしょうゆ,6,みりん風調味料,9,清酒・上撰,7.5,糸みつば・葉＿生,2,,,,,,,,,,,,,,,,,,,,,,
ごはん,五目炊き込みご飯,311,11.4,2.7,57.9,1.1,35.0,米・精白米（水稲）,66,油揚げ,5,にんじん・根、皮つき＿生,7,板こんにゃく（精粉こんにゃく）,15,ごぼう・根＿生,20,生しいたけ＿生,5,若鶏・むね、皮なし＿生,25,こいくちしょうゆ,3,みりん風調味料,3,昆布だし,50,食塩,0.5,清酒・上撰,1.2,さやいんげん・若ざや＿生,3,,,,,,,,,,,,,,,,
ごはん,赤飯,289,6.1,1.1,63.8,0.5,0.0,赤飯（もち米製品）,150,ごま＿いり,1,食塩,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ごはん,いなり寿司,311,7.4,8.3,48.8,2.1,0.0,めし・精白米（水稲）,105,清酒・上撰,3.75,穀物酢,13,車糖・上白糖,4.5,食塩,1.5,油揚げ,22.5,かつお・昆布だし,20,車糖・上白糖,3.7,こいくちしょうゆ,4.2,ごま＿いり,1,,,,,,,,,,,,,,,,,,,,,,
ごはん,巻き寿司,402,10.2,4.3,78.2,2.4,73.4,めし・精白米（水稲）,170,清酒・上撰,3.75,穀物酢,13,車糖・上白糖,4.5,食塩,1.5,乾ししいたけ＿乾,2,車糖・上白糖,1.5,みりん風調味料,3,こいくちしょうゆ,3,鶏卵・全卵＿生,25,車糖・上白糖,1.5,食塩,0.2,調合油,1,きゅうり＿生,60,まだら・でんぶ,3,あまのり・焼きのり,2,,,,,,,,,,
ごはん,ちらし寿司,457,13.7,4.7,86.3,3.2,42.0,めし・精白米（水稲）,200,穀物酢,20,車糖・上白糖,4.5,食塩,2,にんじん・根、皮つき＿生,15,食塩,0.2,車糖・上白糖,1,昆布だし,10,乾ししいたけ＿乾,2,かんぴょう＿乾,2,こいくちしょうゆ,3,車糖・上白糖,1.5,鶏卵・全卵＿生,28,食塩,0.2,調合油,1,くるまえび・養殖＿生,20,食塩,0.2,さやいんげん・若ざや＿生,5,,,,,,
ごはん,親子丼,665,28.5,8.9,110.7,2.1,65.0,めし・精白米（水稲）,260,若鶏・もも、皮なし＿生,75,清酒・上撰,3.75,たまねぎ・りん茎＿生,60,かつおだし,25,こいくちしょうゆ,12,みりん風調味料,9,車糖・上白糖,2.25,鶏卵・全卵＿生,50,切りみつば・葉＿生,5,,,,,,,,,,,,,,,,,,,,,,
ごはん,カツ丼,868,30.5,31.1,107.3,2.8,20.0,めし・精白米（水稲）,260,豚・ロース・脂身つき＿生,80,食塩,1,薄力粉・1等,4,鶏卵・全卵＿生,4,パン粉＿乾燥,4,調合油,9,たまねぎ・りん茎＿生,20,こいくちしょうゆ,10,みりん・本みりん,5,鶏卵・全卵＿生,50,,,,,,,,,,,,,,,,,,,,
ごはん,牛丼,873,15.7,35.8,112.8,2.2,30.0,めし・精白米（水稲）,260,和牛・ばら・脂身つき＿生,70,こんにゃく・しらたき,30,たまねぎ・りん茎＿生,30,車糖・上白糖,7,こいくちしょうゆ,15,みりん・本みりん,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ごはん,天丼,731,38.6,14.1,104.9,3.0,17.0,めし・精白米（水稲）,260,くるまえび・養殖＿生,40,いか・するめ,30,なす＿生,10,ししとうがらし＿生,5,しそ・葉＿生,2,薄力粉・1等,6,鶏卵・全卵＿生,6,調合油,11,こいくちしょうゆ,12,みりん・本みりん,3,顆粒風味調味料,1,,,,,,,,,,,,,,,,,,
ごはん,中華丼,743,31.1,20.3,101.8,2.8,40.0,めし・精白米（水稲）,260,いか・するめ,20,しばえび＿生,20,豚・ばら・脂身つき＿生,30,うずら卵・水煮缶詰,15,はくさい＿生,20,たけのこ・水煮缶詰,10,にんじん・根、皮つき＿生,5,根深ねぎ・葉、軟白＿生,5,調合油,6,こいくちしょうゆ,5,食塩,1,こしょう・白、粉,0.02,顆粒風味調味料,1,じゃがいもでん粉,3,,,,,,,,,,,,
ごはん,カレーライス（ビーフ）,882,20.1,31.1,124.2,3.2,90.0,めし・精白米（水稲）,260,和牛・かた・脂身つき＿生,60,じゃがいも＿生,60,たまねぎ・りん茎＿生,50,にんじん・根、皮つき＿生,40,調合油,10,食塩,1,こしょう・白、粉,0.02,カレールウ,20,,,,,,,,,,,,,,,,,,,,,,,,
ごはん,オムライス,596,20.2,16.4,86.8,2.3,52.0,めし・精白米（水稲）,200,若鶏・むね、皮なし＿生,30,たまねぎ・りん茎＿生,40,青ピーマン＿生,10,調合油,5,食塩,1,トマト加工品・ケチャップ,30,鶏卵・全卵＿生,60,有塩バター,5,パセリ・葉＿生,2,,,,,,,,,,,,,,,,,,,,,,
ごはん,炒飯,537,14.7,15.4,80.9,3.7,45.0,めし・精白米（水稲）,200,豚・焼き豚,25,根深ねぎ・葉、軟白＿生,15,生しいたけ＿生,10,グリーンピース＿冷凍,20,鶏卵・全卵＿生,25,食塩,0.5,調合油,2,調合油,8,食塩,2,こしょう・混合、粉,0.01,こいくちしょうゆ,3,,,,,,,,,,,,,,,,,,
ごはん,きな粉もち（1個）,158,4.6,2.0,29.8,0.3,0.0,もち（もち米製品）,50,きな粉・全粒大豆,7,車糖・上白糖,2.5,食塩,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ごはん,磯辺焼き（1個）,122,2.7,0.4,25.9,0.4,1.0,もち（もち米製品）,50,こいくちしょうゆ,3,あまのり・焼きのり,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
パン,卵野菜サンドイッチ,260,7.2,16.7,20.0,1.0,70.0,食パン・市販品,36,ソフトタイプマーガリン,6,鶏卵・全卵＿生,25,マヨネーズ・全卵型,6,食塩,0.2,こしょう・混合、粉,0.01,きゅうり＿生,30,レタス＿生,10,トマト＿生,30,マヨネーズ・全卵型,4,,,,,,,,,,,,,,,,,,,,,,
