料理の種類,料理名,金額[円],エネルギー[キロカロリー],たんぱく質[グラム],脂質[グラム],炭水化物[グラム],食塩相当量[グラム],野菜量[グラム],材料1＿材料名,材料1＿重量[グラム],材料2＿材料名,材料2＿重量[グラム],材料3＿材料名,材料3＿重量[グラム],材料4＿材料名,材料4＿重量[グラム],材料5＿材料名,材料5＿重量[グラム],材料6＿材料名,材料6＿重量[グラム],材料7＿材料名,材料7＿重量[グラム],材料8＿材料名,材料8＿重量[グラム],材料9＿材料名,材料9＿重量[グラム],材料10＿材料名,材料10＿重量[グラム],材料11＿材料名,材料11＿重量[グラム],材料12＿材料名,材料12＿重量[グラム],材料13＿材料名,材料13＿重量[グラム],材料14＿材料名,材料14＿重量[グラム],材料15＿材料名,材料15＿重量[グラム],材料16＿材料名,材料16＿重量[グラム],材料17＿材料名,材料17＿重量[グラム],材料18＿材料名,材料18＿重量[グラム],材料19＿材料名,材料19＿重量[グラム],材料20＿材料名,材料20＿重量[グラム]
野菜料理＿お浸し・和え物・酢の物,豆苗ともやしのごま酢和え,160,40,2.7,1,6,0.7,60.5,トウミョウ・茎葉＿生,30,ブラックマッペもやし＿生,30,穀物酢,7.5,こいくちしょうゆ,4.5,車糖・上白糖,3,しょうが・根茎＿生,0.5,ごま＿いり,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿お浸し・和え物・酢の物,小松菜とこんにゃくのごま和え,100,22,1,0.6,4,0.4,40,こまつな・葉＿生,30,にんじん・根、皮つき＿生,10,こんにゃく・しらたき,30,車糖・上白糖,1,こいくちしょうゆ,3,ごま＿いり,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿お浸し・和え物・酢の物,チンゲン菜のさっぱりネギだれ,130,22,0.4,0.1,5,0.3,64,チンゲンサイ・葉＿生,45,にんじん・根、皮つき＿生,15,根深ねぎ・葉、軟白＿生,4,穀物酢,7.5,車糖・上白糖,2,ゆず・果皮＿生,0.5,食塩,0.2,とうがらし・粉,0.3,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿お浸し・和え物・酢の物,大根と長いもの梅びしお和え,190,23,0.6,0.1,5,0.2,20,大根・根、皮つき＿生,20,やまのいも・ながいも＿生,20,梅びしお,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿お浸し・和え物・酢の物,小松菜の昆布和え,100,21,1.9,0.2,5.1,0.9,80,こまつな・葉＿生,60,にんじん・根、皮つき＿生,20,塩昆布,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿お浸し・和え物・酢の物,きのこのおろし和え,110,36,2.4,1.8,6.3,0.6,85,ひらたけ・エリンギ＿生,30,生しいたけ＿生,20,えのきたけ・味付け瓶詰,10,大根・根、皮つき＿生,25,ごま油,1,からし・粒入りマスタード,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿お浸し・和え物・酢の物,にんじんとえのきのナムル,30,52,0.8,3.6,5,1.2,55,にんじん・根、皮つき＿生,40,えのきたけ＿生,15,食塩,1.2,ごま＿いり,1,ごま油,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿お浸し・和え物・酢の物,きゅうりとワカメの酢の物,80,13,0.9,0.2,2.9,1.2,70,きゅうり＿生,40,食塩,0.3,湯通し塩蔵わかめ＿塩抜き,30,穀物酢,7.5,昆布だし,7.5,車糖・上白糖,0.5,食塩,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿お浸し・和え物・酢の物,きゅうりとみょうがの甘酢和え,140,18,0.7,0.1,4.1,0.5,57,きゅうり＿生,30,食塩,0.2,湯通し塩蔵わかめ＿塩抜き,20,みょうが・花穂＿生,7,穀物酢,7.5,車糖・上白糖,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿お浸し・和え物・酢の物,紅白なます,60,26,0.4,0.1,6,0.3,70,大根・根、皮つき＿生,60,にんじん・根、皮つき＿生,10,穀物酢,8,車糖・上白糖,2.5,食塩,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿サラダ,レタスサラダ（ドレッシングなし）,110,15,0.7,0.1,3.4,0,90,レタス＿生,50,きゅうり＿生,20,トマト・ミニトマト＿生,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿サラダ,コーンサラダ（ドレッシングなし）,180,38,1.4,0.2,8.5,0.2,110,レタス＿生,40,きゅうり＿生,20,トマト・ミニトマト＿生,20,スイートコーン・缶詰、ホールカーネルスタイル,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿サラダ,ツナサラダ（ドレッシングなし）,110,94,6,6.6,3.2,0.3,80,レタス＿生,40,きゅうり＿生,20,トマト・ミニトマト＿生,20,まぐろ・缶詰油漬フレーク・ライト,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿サラダ,ポテトサラダ,200,207,4.4,12.2,19.7,0.2,30,じゃがいも＿生,100,にんじん・根、皮つき＿生,10,きゅうり＿生,20,鶏卵・全卵＿生,20,調合油,4,穀物酢,5,マヨネーズ・全卵型,8,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿サラダ,ごぼうサラダ,75,103,1.7,6.6,9.9,0.7,70,ごぼう・根＿生,50,にんじん・根、皮つき＿生,10,きゅうり＿生,10,マヨネーズ・全卵型,8,こいくちしょうゆ,4,ごま＿いり,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿サラダ,大根サラダ（ドレッシングなし）,50,14,0.5,0.1,3,0,75,大根・根、皮つき＿生,70,かいわれ大根・芽生え＿生,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿サラダ,春キャベツのサラダ（味付けあり）,140,40,1.8,1,6.7,0.3,65,キャベツ＿生,40,たまねぎ・りん茎＿生,20,スイートコーン・缶詰、ホールカーネルスタイル,5,ヨーグルト・全脂無糖,20,レモン・果汁＿生,2.5,車糖・上白糖,0.75,食塩,0.2,こしょう・白、粉,0.01,プロセスチーズ,1,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿サラダ,ミモザサラダ（マヨネーズ和え）,60,119,3.3,8.7,7.6,0.3,30,じゃがいも＿生,30,なばな・和種・花らい・茎＿生,30,マヨネーズ・全卵型,10,脱脂乳,2.5,食塩,0.1,鶏卵・全卵＿生,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿サラダ,かぼちゃのヨーグルトサラダ（マヨネーズ和え）,150,103,1.9,5.5,12.3,0.1,60,かぼちゃ（西洋）＿生,50,たまねぎ・りん茎＿生,10,調合油,0.5,脱脂乳,1.5,ヨーグルト・全脂無糖,5,マヨネーズ・全卵型,4,こしょう・白、粉,0.01,アーモンド＿乾,3,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿サラダ,かぼちゃサラダ（マヨネーズ和え）,140,74,1.3,3.4,10.3,0.4,65,かぼちゃ（西洋）＿生,40,たまねぎ・りん茎＿生,15,しめじ・ぶなしめじ＿生,10,無塩バター,1,食塩,0.3,こしょう・混合、粉,0.01,普通牛乳,2.5,マヨネーズ・全卵型,3,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿サラダ,れんこんのマヨサラダ,160,91,2.1,6.2,7.2,0.4,50,れんこん・根茎＿生,40,きょうな・葉＿生,10,まぐろ・缶詰油漬フレーク・ライト,5,マヨネーズ・全卵型,6.6,ヨーグルト・全脂無糖,4,食塩,0.2,こしょう・混合、粉,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿サラダ,白菜ツナサラダ（マヨ醤油和え）,60,64,1.5,5.6,1.9,0.6,40,はくさい＿生,40,まぐろ・缶詰油漬フレーク・ライト,5,マヨネーズ・全卵型,6,こいくちしょうゆ,3,穀物酢,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿サラダ,大根と水菜のサラダ（三杯酢）,140,25,0.8,0.6,4.3,0.5,55,大根・根、皮つき＿生,40,にんじん・根、皮つき＿生,10,きょうな・葉＿生,5,こいくちしょうゆ,3,穀物酢,2.5,車糖・上白糖,1,ごま＿いり,1,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿サラダ,白菜とりんごのサラダ（ドレッシングかけ）,140,42,0.5,2.1,5.7,0.2,60,はくさい＿生,60,りんご＿生,25,穀物酢,5,オリーブ油,2,食塩,0.2,こしょう・混合、粉,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿焼き物・炒め物,れんこん挟み焼き_きのこ餡かけ,210,213,12.8,11.3,14.5,1,61,れんこん・根茎＿生,40,鶏・ひき肉＿生,50,はんぺん,10,根深ねぎ・葉、軟白＿生,10,しょうが・根茎＿生,1,じゃがいもでん粉,0.75,食塩,0.2,こしょう・白、粉,0.01,じゃがいもでん粉,3,調合油,7,しめじ・ぶなしめじ＿生,5,えのきたけ＿生,5,かつお・昆布だし,40,うすくちしょうゆ,3,みりん・本みりん,1.5,じゃがいもでん粉,2,,,,,,,,
野菜料理＿焼き物・炒め物,しいたけの網焼き（3枚）,110,9,1.4,0.2,2.3,0.6,40,生しいたけ＿生,40,食塩,0.2,こいくちしょうゆ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿焼き物・炒め物,焼き茄子,110,26,2.1,0.1,4.8,0.9,82,なす＿生,80,かつお・削り節,1,しょうが・根茎＿生,2,こいくちしょうゆ,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿焼き物・炒め物,野菜の甘酢炒め,160,75,1,3.1,10.6,0.6,50,れんこん・根茎＿生,20,にんじん・根、皮つき＿生,10,青ピーマン＿生,10,たまねぎ・りん茎＿生,10,車糖・上白糖,4.5,穀物酢,3.3,こいくちしょうゆ,4,清酒・上撰,3.3,かつお・昆布だし,15,ごま油,3,,,,,,,,,,,,,,,,,,,,
野菜料理＿焼き物・炒め物,にんじんのカレーきんぴら,50,57,0.5,4.4,4.2,0.2,45,にんじん・根、皮つき＿生,40,まいたけ＿生,5,調合油,2,カレー粉,0.25,固形コンソメ,0.2,マヨネーズ・全卵型,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿焼き物・炒め物,大根きんぴら,190,71,1,4.1,7.9,0.8,80,大根・根、皮つき＿生,50,にんじん・根、皮つき＿生,20,大根・葉＿生,10,車糖・上白糖,3,こいくちしょうゆ,5,ごま油,4,とうがらし・粉,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿焼き物・炒め物,野菜きんぴら,120,100,2,4.2,13.4,0.8,80,ごぼう・根＿生,40,れんこん・根茎＿生,20,にんじん・根、皮つき＿生,20,ごま＿いり,2,こいくちしょうゆ,5,清酒・上撰,3,みりん・本みりん,3,ごま油,3,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿煮物,大根の煮物,100,53,1.8,0.2,11.9,1.6,150,大根・根、皮つき＿生,150,かつお・昆布だし,100,車糖・上白糖,4.5,こいくちしょうゆ,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿煮物,かぼちゃの煮物,150,124,2.5,0.3,26.7,1,100,かぼちゃ（西洋）＿生,100,昆布だし,70,こいくちしょうゆ,6,清酒・上撰,7.5,車糖・上白糖,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿煮物,切干大根の煮物,100,116,2.4,5.7,13.1,1.4,78,大根・切り干し大根,10,にんじん・根、皮つき＿生,5,油揚げ,5,調合油,4,かつお・昆布だし,66,こいくちしょうゆ,9,車糖・上白糖,4.5,清酒・上撰,5,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿煮物,若竹煮,140,50,3.5,0.3,10.5,1.2,105,たけのこ・若茎＿ゆで,80,湯通し塩蔵わかめ＿塩抜き,25,かつお・昆布だし,50,こいくちしょうゆ,2,みりん風調味料,9,食塩,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿煮物,小松菜と桜えびの炒め煮,150,37,2.5,1.7,2.8,0.4,55,こまつな・葉＿生,55,さくらえび＿素干し,1.5,ごま油,1.5,かつお・かつお節,0.7,うすくちしょうゆ,2.5,みりん・本みりん,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿煮物,炊き合わせ,160,92,3.7,0.6,17.6,0.9,100,若鶏・もも、皮なし＿生,10,大根・根、皮つき＿生,50,かぼちゃ（西洋）＿生,30,ごぼう・根＿生,20,こいくちしょうゆ,6,車糖・上白糖,3,みりん・本みりん,6,かつお・昆布だし,50,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿煮物,なすのおろし煮,140,60,1.1,3.1,6.8,0.5,100,なす＿生,60,調合油,3,大根・根、皮つき＿生,40,かつお・昆布だし,30,うすくちしょうゆ,3,みりん・本みりん,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿煮物,ごろごろ野菜のポトフ_カレー風味,260,222,12.9,13.3,12.3,1.5,80,若鶏・手羽、皮つき＿生,60,カレー粉,1.5,じゃがいも＿生,30,にんじん・根、皮つき＿生,20,キャベツ＿生,40,ブロッコリー・花序＿生,20,調合油,4,固形コンソメ,2.65,食塩,0.2,こしょう・混合、粉,0.01,,,,,,,,,,,,,,,,,,,,
野菜料理＿煮物,こんにゃく土佐煮,100,32,1.9,0.1,5.6,1.1,0,板こんにゃく（精粉こんにゃく）,80,かつおだし,100,みりん・本みりん,7,こいくちしょうゆ,7,かつお・削り節,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿煮物,ひじき煮,80,90,4.7,4.7,9.4,1.2,56.8,ひじき・ほしひじき,6,にんじん・根、皮つき＿生,10,油揚げ,8,大豆・水煮缶詰,15,調合油,1,かつお・昆布だし,50,こいくちしょうゆ,6,車糖・上白糖,3,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿付合せ,千切りキャベツ（ドレッシングなし）,40,7,0.4,0.1,1.6,0,30,キャベツ＿生,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿付合せ,ミニトマト（1個）,20,3,0.1,0,0.7,0,10,トマト・ミニトマト＿生,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿付合せ,ブロッコリー（小房1個）,100,3,0.4,0.1,0.5,0,10,ブロッコリー・花序＿生,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿付合せ,人参のグラッセ（1個）,120,15,0.1,0.8,2,0,15,にんじん・根、皮つき＿生,15,有塩バター,1,車糖・上白糖,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
芋料理,里芋の含め煮,100,104,2.2,0.1,22.8,0.8,0,さといも＿生,130,昆布だし,100,車糖・上白糖,4.5,清酒・上撰,5,食塩,0.3,こいくちしょうゆ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
芋料理,さつま芋の天ぷら（輪切り1枚）,90,127,1.1,8.5,10.9,0.1,0,さつまいも＿生,25,鶏卵・全卵＿生,4,薄力粉・1等,4,食塩,0.1,調合油,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
芋料理,さつまいものデリ風サラダ,100,146,2.1,5.8,21.7,0.4,15,さつまいも＿生,50,豚・ベーコン・ベーコン,4,グリーンピース＿冷凍,5,スイートコーン・未熟・ホール＿冷凍,5,にんじん・根＿冷凍,5,マヨネーズ・全卵型,4,からし・粒入りマスタード,6,はちみつ,3.5,,,,,,,,,,,,,,,,,,,,,,,,
芋料理,さつまいもの白和え,110,109,3.9,3.4,16.1,0.6,0,さつまいも＿生,30,木綿豆腐,35,ぎんなん＿生,2,ごま＿いり,3,車糖・上白糖,4,こいくちしょうゆ,1.5,米みそ・淡色辛みそ,3,,,,,,,,,,,,,,,,,,,,,,,,,,
芋料理,ジャーマンポテト,150,95,1.7,4.7,12.2,0.4,33,じゃがいも＿生,50,たまねぎ・りん茎＿生,20,しめじ・ぶなしめじ＿生,10,調合油,4,にんにく・りん茎＿生,1,固形コンソメ,0.7,こしょう・混合、粉,0.01,からし・粒入りマスタード,3,パセリ・葉＿生,2,,,,,,,,,,,,,,,,,,,,,,
芋料理,さつまいものレモン煮,100,86,0.6,0.1,20.8,0,0,さつまいも＿生,50,車糖・上白糖,5,レモン・果汁＿生,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
芋料理,山芋のカレー煮,180,131,8,5,12,1,5,やまのいも・ながいも＿生,60,豚・かた・皮下脂肪なし＿生,30,かつお・昆布だし,50,カレー粉,0.5,調合油,2,清酒・上撰,5,車糖・上白糖,2,こいくちしょうゆ,6,こねぎ・葉＿生,5,,,,,,,,,,,,,,,,,,,,,,
汁物＿和風,豆腐とわかめのみそ汁,100,32,2.5,1.3,3,1.5,24,絹ごし豆腐,20,カットわかめ,1,こねぎ・葉＿生,3,煮干しだし,150,米みそ・淡色辛みそ,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿和風,もやしと油揚げのみそ汁,40,53,3.4,3,3.4,1.3,43,ブラックマッペもやし＿生,40,油揚げ,7,こねぎ・葉＿生,3,煮干しだし,150,米みそ・淡色辛みそ,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿和風,大根と油揚げのみそ汁,100,56,2.9,3.1,4.4,1.3,53,大根・根、皮つき＿生,50,油揚げ,7,こねぎ・葉＿生,3,煮干しだし,150,米みそ・淡色辛みそ,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿和風,なめこ汁,90,32,2.6,1.2,4,1.3,33,なめこ＿生,30,絹ごし豆腐,15,こねぎ・葉＿生,3,煮干しだし,150,米みそ・淡色辛みそ,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿和風,具だくさん味噌汁,150,43,1.9,0.5,8.2,1,43,さといも＿生,20,にんじん・根、皮つき＿生,10,ごぼう・根＿生,10,板こんにゃく（精粉こんにゃく）,10,大根・根、皮つき＿生,20,米みそ・淡色辛みそ,7,かつお・昆布だし,120,こねぎ・葉＿生,3,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿和風,だご汁,200,228,9.2,5.3,35.6,1.5,74.4,薄力粉・1等,30,豚・ロース・脂身つき＿生,20,乾ししいたけ＿乾,2,ごぼう・根＿生,20,さといも＿生,30,にんじん・根、皮つき＿生,10,大根・根、皮つき＿生,30,煮干しだし,180,米みそ・淡色辛みそ,10,こねぎ・葉＿生,3,,,,,,,,,,,,,,,,,,,,
汁物＿和風,豚汁,125,104,6.1,2.8,13.7,1.2,68,豚・もも・脂身つき＿生,20,大根・根、皮つき＿生,30,にんじん・根、皮つき＿生,15,さといも・みずいも＿生,20,ごぼう・根＿生,20,煮干しだし,150,米みそ・淡色辛みそ,5,麦みそ,4,こねぎ・葉＿生,3,,,,,,,,,,,,,,,,,,,,,,
汁物＿和風,あさりのみそ汁,110,26,2.7,0.6,2.2,1.7,3,あさり＿生,25,こねぎ・葉＿生,3,米みそ・淡色辛みそ,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿和風,大根のすまし汁,100,18,1.1,0.1,3.9,1,53,大根・根、皮つき＿生,20,にんじん・根、皮つき＿生,20,しめじ・ぶなしめじ＿生,10,かつお・昆布だし,150,うすくちしょうゆ,2,食塩,0.5,こねぎ・葉＿生,3,,,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿和風,豆腐とえのきのすまし汁,40,23,2,0.6,2.2,1,13,絹ごし豆腐,20,えのきたけ＿生,10,こねぎ・葉＿生,3,かつお・昆布だし,150,食塩,0.3,清酒・上撰,3.3,うすくちしょうゆ,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿和風,豆腐とわかめのすまし汁,35,22,1.9,0.6,1.9,1.3,24,絹ごし豆腐,20,カットわかめ,1,こねぎ・葉＿生,3,かつお・昆布だし,150,食塩,0.3,清酒・上撰,3,うすくちしょうゆ,4,,,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿和風,かき玉汁,100,47,3.7,2.6,2,1.1,3,鶏卵・全卵＿生,25,かつお・昆布だし,150,食塩,0.6,うすくちしょうゆ,1.5,じゃがいもでん粉,1.5,こねぎ・葉＿生,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿和風,卵豆腐のすまし汁,160,30,2.6,1.5,1.7,1.1,5,かつお・昆布だし,150,食塩,0.4,うすくちしょうゆ,1.5,たまご豆腐,30,焼きふ・観世ふ,0.5,切りみつば・葉＿生,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿和風,若竹汁,190,14,1.6,0.1,2.4,1.2,41,たけのこ・若茎＿ゆで,20,カットわかめ,1,うすくちしょうゆ,5,清酒・上撰,1,かつお・昆布だし,130,レモン・全果＿生,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿和風,とろろ梅のお吸い物,60,17,1.5,0.2,3.1,0.9,8,削り昆布,3,梅干し＿調味漬,3,切りみつば・葉＿生,5,焼きふ・観世ふ,1,かつおだし,150,こいくちしょうゆ,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿和風,押し麦とわかめのすまし汁,80,50,1.3,2.1,7.2,0.8,33,大麦・押麦,5,湯通し塩蔵わかめ＿塩抜き,13,ごぼう・根＿生,10,たまねぎ・りん茎＿生,10,ごま油,2,かつお・昆布だし,130,食塩,0.3,うすくちしょうゆ,1.5,こしょう・混合、粉,0.01,,,,,,,,,,,,,,,,,,,,,,
汁物＿その他,コーンスープ,125,109,4.3,4.1,14.2,1.1,57,スイートコーン・缶詰、クリームスタイル,40,たまねぎ・りん茎＿生,15,普通牛乳,100,固形コンソメ,1,食塩,0.3,こしょう・白、粉,0.01,パセリ・葉＿生,2,,,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿その他,かぼちゃのポタージュ,95,69,2.1,1.3,12.5,0.5,67,かぼちゃ（西洋）＿生,40,たまねぎ・りん茎＿生,25,固形コンソメ,1,普通牛乳,30,こしょう・白、粉,0.01,パセリ・葉＿生,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿その他,かぶのポタージュ,140,107,3.3,7,7.8,1,80,かぶ・根、皮つき＿生,70,かぶ・葉＿生,10,固形コンソメ,1.3,有塩バター,5,普通牛乳,75,食塩,0.3,こしょう・混合、粉,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿その他,オニオンスープ,250,114,2.8,6,12.3,0.7,82,たまねぎ・りん茎＿生,80,有塩バター,6,薄力粉・1等,6,固形コンソメ,1,こしょう・白、粉,0.01,ナチュラルチーズ・パルメザン,3,パセリ・葉＿生,2,,,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿その他,春キャベツの具沢山ミルクスープ,150,92,3.1,1.5,16.6,0.9,30,キャベツ＿生,25,じゃがいも＿生,40,固形コンソメ,2,スイートコーン・缶詰、ホールカーネルスタイル,5,マカロニ・スパゲッティ＿乾,7,普通牛乳,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿その他,じゃがいものコンソメスープ,50,35,0.9,0.1,7.6,1.2,20,じゃがいも＿生,30,さやいんげん・若ざや＿生,10,にんじん・根、皮つき＿生,10,固形コンソメ,2,清酒・上撰,1,食塩,0.3,こしょう・混合、粉,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿その他,もやしとわかめのコンソメスープ,40,26,2.1,1.3,1.5,0.9,41,ブラックマッペもやし＿生,20,カットわかめ,1,鶏卵・全卵＿生,12,固形コンソメ,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汁物＿その他,にら玉スープ,45,27,3.2,1.1,1.4,0.6,35,にら・葉＿生,15,鶏卵・全卵＿生,10,ブラックマッペもやし＿生,20,中華だし,150,うすくちしょうゆ,2.5,こしょう・混合、粉,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乳製品,牛乳（コップ1杯）,40,101,5,5.7,7.2,0.2,0,普通牛乳,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乳製品,ヨーグルト（プレーン）（ミニカップ1個）,40,43,2.5,2.1,3.4,0.1,0,ヨーグルト・全脂無糖,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乳製品,ヨーグルト（加糖）（ミニカップ1個）,45,47,3,0.1,8.3,0.1,0,ヨーグルト・脱脂加糖,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乳製品,ヨーグルト（ドリンクタイプ）（1本）,100,88,3.9,0.7,16.5,0.1,0,ヨーグルト・ドリンクタイプ,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乳製品,6Pチーズ（1個）,35,85,5.7,6.5,0.3,0.7,0,プロセスチーズ,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乳製品,スライスチーズ（1枚）,20,61,4.1,4.7,0.2,0.5,0,プロセスチーズ,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
果物,バナナ（M1本）,20,101,1.3,0.2,26.3,0,0,バナナ＿生,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
果物,みかん（M1個）,60,40,0.6,0.1,10.6,0,0,温州みかん・じょうのう・普通＿生,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
果物,りんご（M1個）,110,129,0.5,0.2,34.7,0,0,りんご＿生,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
果物,キウイフルーツ（1個）,100,54,1,0.1,13.8,0,0,キウイフルーツ＿生,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
果物,いちご（1個）,60,3,0.1,0,0.8,0,0,いちご＿生,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
果物,オレンジ（1個）,90,44,1.1,0.1,11.2,0,0,オレンジ・バレンシア・砂じょう＿生,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
果物,グレープフルーツ（1個）,80,120,2.8,0.3,30.2,0,0,グレープフルーツ・砂じょう＿生,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
果物,柿（M1個）,150,109,0.7,0.4,28.9,0,0,かき・甘がき＿生,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
果物,梨（M1個）,170,92,0.6,0.2,24.1,0,0,なし・日本なし＿生,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
果物,巨峰（1房）,400,142,1,0.2,37.7,0,0,ぶどう＿生,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
果物,もも（M1個）,190,68,1,0.2,17.3,0,0,もも＿生,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
果物,メロン（8分の1玉）,120,26,0.7,0.1,6.4,0,0,メロン・温室メロン＿生,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
果物,スイカ（S　8分の1玉）,180,111,1.8,0.3,28.5,0,0,すいか＿生,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
果物,りんごのコンポート,130,61,0.2,0.1,16.2,0,0,りんご＿生,80,車糖・上白糖,4.5,レモン・果汁＿生,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
